,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
24,La Bûddha affaire - Version Maxi,Unita - Les Maxis,Indochine,221706,spotify:track:4ttzC0vu0GKx382qyY3XeF,https://api.spotify.com/v1/tracks/4ttzC0vu0GKx382qyY3XeF,0.473,0.496,7.0,-10.142,1.0,0.0291,0.129,0.0224,0.364,0.484,179.299,audio_features,4ttzC0vu0GKx382qyY3XeF,spotify:track:4ttzC0vu0GKx382qyY3XeF,https://api.spotify.com/v1/tracks/4ttzC0vu0GKx382qyY3XeF,https://api.spotify.com/v1/audio-analysis/4ttzC0vu0GKx382qyY3XeF,221707.0,3.0,
25,Savoure le rouge - Live 1994,Radio Indochine,Indochine,325626,spotify:track:5FjygBhLyetEnzlKDUTnpR,https://api.spotify.com/v1/tracks/5FjygBhLyetEnzlKDUTnpR,0.396,0.938,4.0,-5.774,1.0,0.103,0.0896,0.00153,0.937,0.324,129.12,audio_features,5FjygBhLyetEnzlKDUTnpR,spotify:track:5FjygBhLyetEnzlKDUTnpR,https://api.spotify.com/v1/tracks/5FjygBhLyetEnzlKDUTnpR,https://api.spotify.com/v1/audio-analysis/5FjygBhLyetEnzlKDUTnpR,325627.0,4.0,
26,Trois nuits par semaine - Live 1994,Radio Indochine,Indochine,365866,spotify:track:3AvbWQ4J0P3YBpCYr9IN3d,https://api.spotify.com/v1/tracks/3AvbWQ4J0P3YBpCYr9IN3d,0.555,0.961,9.0,-5.33,0.0,0.0723,0.104,0.0,0.984,0.31,140.332,audio_features,3AvbWQ4J0P3YBpCYr9IN3d,spotify:track:3AvbWQ4J0P3YBpCYr9IN3d,https://api.spotify.com/v1/tracks/3AvbWQ4J0P3YBpCYr9IN3d,https://api.spotify.com/v1/audio-analysis/3AvbWQ4J0P3YBpCYr9IN3d,365867.0,4.0,
27,Canary Bay - Live 1994,Radio Indochine,Indochine,353800,spotify:track:6xmBELnPCilPRiiuBchu4e,https://api.spotify.com/v1/tracks/6xmBELnPCilPRiiuBchu4e,0.515,0.938,4.0,-5.477,1.0,0.0375,0.0135,3.24e-06,0.254,0.624,146.073,audio_features,6xmBELnPCilPRiiuBchu4e,spotify:track:6xmBELnPCilPRiiuBchu4e,https://api.spotify.com/v1/tracks/6xmBELnPCilPRiiuBchu4e,https://api.spotify.com/v1/audio-analysis/6xmBELnPCilPRiiuBchu4e,353800.0,4.0,
28,Un jour dans notre vie - Live 1994,Radio Indochine,Indochine,383466,spotify:track:1SXl7wNFqyroDYBJkuhnqs,https://api.spotify.com/v1/tracks/1SXl7wNFqyroDYBJkuhnqs,0.411,0.929,6.0,-6.283,1.0,0.0631,0.166,2.73e-06,0.983,0.554,139.183,audio_features,1SXl7wNFqyroDYBJkuhnqs,spotify:track:1SXl7wNFqyroDYBJkuhnqs,https://api.spotify.com/v1/tracks/1SXl7wNFqyroDYBJkuhnqs,https://api.spotify.com/v1/audio-analysis/1SXl7wNFqyroDYBJkuhnqs,383467.0,4.0,
29,Tes yeux noirs - live 1994,Radio Indochine,Indochine,293640,spotify:track:4wYI6D8632Oka585Htt9Sw,https://api.spotify.com/v1/tracks/4wYI6D8632Oka585Htt9Sw,0.454,0.917,6.0,-5.762,0.0,0.0485,0.287,2.43e-05,0.856,0.31,140.109,audio_features,4wYI6D8632Oka585Htt9Sw,spotify:track:4wYI6D8632Oka585Htt9Sw,https://api.spotify.com/v1/tracks/4wYI6D8632Oka585Htt9Sw,https://api.spotify.com/v1/audio-analysis/4wYI6D8632Oka585Htt9Sw,293640.0,4.0,
30,3e sexe - Live 1994,Radio Indochine,Indochine,225933,spotify:track:2B8HkN0jTlt4mV3nNgxPHw,https://api.spotify.com/v1/tracks/2B8HkN0jTlt4mV3nNgxPHw,0.47,0.549,5.0,-11.75,0.0,0.0414,0.841,7.25e-06,0.981,0.338,136.677,audio_features,2B8HkN0jTlt4mV3nNgxPHw,spotify:track:2B8HkN0jTlt4mV3nNgxPHw,https://api.spotify.com/v1/tracks/2B8HkN0jTlt4mV3nNgxPHw,https://api.spotify.com/v1/audio-analysis/2B8HkN0jTlt4mV3nNgxPHw,225933.0,4.0,
31,More... - Live 1994,Radio Indochine,Indochine,350226,spotify:track:2z8ADnmyGPy9ATvr2zXuLe,https://api.spotify.com/v1/tracks/2z8ADnmyGPy9ATvr2zXuLe,0.361,0.863,2.0,-6.09,1.0,0.0461,0.177,0.000116,0.993,0.227,137.578,audio_features,2z8ADnmyGPy9ATvr2zXuLe,spotify:track:2z8ADnmyGPy9ATvr2zXuLe,https://api.spotify.com/v1/tracks/2z8ADnmyGPy9ATvr2zXuLe,https://api.spotify.com/v1/audio-analysis/2z8ADnmyGPy9ATvr2zXuLe,350227.0,4.0,
32,La machine à rattraper le temps - Live 1994,Radio Indochine,Indochine,227666,spotify:track:4zmJ8yd1HMvvrtOeGTaFtG,https://api.spotify.com/v1/tracks/4zmJ8yd1HMvvrtOeGTaFtG,0.477,0.935,6.0,-6.031,1.0,0.0732,0.155,8.35e-05,0.972,0.609,149.523,audio_features,4zmJ8yd1HMvvrtOeGTaFtG,spotify:track:4zmJ8yd1HMvvrtOeGTaFtG,https://api.spotify.com/v1/tracks/4zmJ8yd1HMvvrtOeGTaFtG,https://api.spotify.com/v1/audio-analysis/4zmJ8yd1HMvvrtOeGTaFtG,227667.0,4.0,
33,Des fleurs pour Salinger - Live 1994,Radio Indochine,Indochine,456066,spotify:track:5O0LW4ToZcnBG4zg0jFCAz,https://api.spotify.com/v1/tracks/5O0LW4ToZcnBG4zg0jFCAz,0.282,0.877,5.0,-6.344,1.0,0.0775,0.102,9.61e-05,0.974,0.177,138.612,audio_features,5O0LW4ToZcnBG4zg0jFCAz,spotify:track:5O0LW4ToZcnBG4zg0jFCAz,https://api.spotify.com/v1/tracks/5O0LW4ToZcnBG4zg0jFCAz,https://api.spotify.com/v1/audio-analysis/5O0LW4ToZcnBG4zg0jFCAz,456067.0,4.0,
34,Kao Bang - Live1994,Radio Indochine,Indochine,239666,spotify:track:6DJj6FGT62kw1rU53ZUWWq,https://api.spotify.com/v1/tracks/6DJj6FGT62kw1rU53ZUWWq,0.558,0.93,7.0,-6.063,0.0,0.0795,0.0274,0.0,0.995,0.505,128.32,audio_features,6DJj6FGT62kw1rU53ZUWWq,spotify:track:6DJj6FGT62kw1rU53ZUWWq,https://api.spotify.com/v1/tracks/6DJj6FGT62kw1rU53ZUWWq,https://api.spotify.com/v1/audio-analysis/6DJj6FGT62kw1rU53ZUWWq,239667.0,4.0,
35,Bienvenue chez les nus - Live 1994,Radio Indochine,Indochine,253040,spotify:track:0t9lLrea1Q7UK2a8oGw7SZ,https://api.spotify.com/v1/tracks/0t9lLrea1Q7UK2a8oGw7SZ,0.514,0.934,8.0,-5.932,1.0,0.0533,0.131,0.0,0.927,0.445,146.003,audio_features,0t9lLrea1Q7UK2a8oGw7SZ,spotify:track:0t9lLrea1Q7UK2a8oGw7SZ,https://api.spotify.com/v1/tracks/0t9lLrea1Q7UK2a8oGw7SZ,https://api.spotify.com/v1/audio-analysis/0t9lLrea1Q7UK2a8oGw7SZ,253040.0,4.0,
36,Les tzars - Live 1994,Radio Indochine,Indochine,312306,spotify:track:22mohzn4u6WwFmeIcBLqcJ,https://api.spotify.com/v1/tracks/22mohzn4u6WwFmeIcBLqcJ,0.516,0.939,1.0,-6.5,1.0,0.0972,0.032,1.14e-06,0.929,0.432,143.232,audio_features,22mohzn4u6WwFmeIcBLqcJ,spotify:track:22mohzn4u6WwFmeIcBLqcJ,https://api.spotify.com/v1/tracks/22mohzn4u6WwFmeIcBLqcJ,https://api.spotify.com/v1/audio-analysis/22mohzn4u6WwFmeIcBLqcJ,312307.0,4.0,
37,Crystal Song Telegram - Live 1994,Radio Indochine,Indochine,157200,spotify:track:5csan8EW6ZKa4TrUfUWLGb,https://api.spotify.com/v1/tracks/5csan8EW6ZKa4TrUfUWLGb,0.58,0.943,0.0,-6.112,1.0,0.0441,0.112,7.89e-05,0.969,0.539,112.004,audio_features,5csan8EW6ZKa4TrUfUWLGb,spotify:track:5csan8EW6ZKa4TrUfUWLGb,https://api.spotify.com/v1/tracks/5csan8EW6ZKa4TrUfUWLGb,https://api.spotify.com/v1/audio-analysis/5csan8EW6ZKa4TrUfUWLGb,157200.0,4.0,
38,Unisexe - Live Version - 1997,Indo Live,Indochine,330933,spotify:track:2LI41mgXDmZPlm9sltbTt3,https://api.spotify.com/v1/tracks/2LI41mgXDmZPlm9sltbTt3,0.406,0.88,1.0,-10.703,1.0,0.0434,0.039,0.00654,0.438,0.613,141.08,audio_features,2LI41mgXDmZPlm9sltbTt3,spotify:track:2LI41mgXDmZPlm9sltbTt3,https://api.spotify.com/v1/tracks/2LI41mgXDmZPlm9sltbTt3,https://api.spotify.com/v1/audio-analysis/2LI41mgXDmZPlm9sltbTt3,330933.0,4.0,
39,Drugstar,Wax,Indochine,210933,spotify:track:4bmc1dWlNKNUb90RXQvvzV,https://api.spotify.com/v1/tracks/4bmc1dWlNKNUb90RXQvvzV,0.692,0.87,2.0,-6.667,1.0,0.0334,0.225,2.38e-05,0.109,0.906,120.027,audio_features,4bmc1dWlNKNUb90RXQvvzV,spotify:track:4bmc1dWlNKNUb90RXQvvzV,https://api.spotify.com/v1/tracks/4bmc1dWlNKNUb90RXQvvzV,https://api.spotify.com/v1/audio-analysis/4bmc1dWlNKNUb90RXQvvzV,210933.0,4.0,
