,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
20,If Trouble Was Money,Trouble Blues,Albert Collins,480973,spotify:track:18xaJ7klRcdzbWrhsPhzyp,https://api.spotify.com/v1/tracks/18xaJ7klRcdzbWrhsPhzyp,0.535,0.574,7,-7.224,1,0.0402,0.0224,0.00279,0.747,0.351,133.976,audio_features,18xaJ7klRcdzbWrhsPhzyp,spotify:track:18xaJ7klRcdzbWrhsPhzyp,https://api.spotify.com/v1/tracks/18xaJ7klRcdzbWrhsPhzyp,https://api.spotify.com/v1/audio-analysis/18xaJ7klRcdzbWrhsPhzyp,480973,3
21,T-Bone Shuffle,Showdown!,Albert Collins,298186,spotify:track:3NIHZC5djh59VExPFgeSep,https://api.spotify.com/v1/tracks/3NIHZC5djh59VExPFgeSep,0.534,0.763,11,-8.147,1,0.0385,0.0408,0.318,0.0454,0.839,131.388,audio_features,3NIHZC5djh59VExPFgeSep,spotify:track:3NIHZC5djh59VExPFgeSep,https://api.spotify.com/v1/tracks/3NIHZC5djh59VExPFgeSep,https://api.spotify.com/v1/audio-analysis/3NIHZC5djh59VExPFgeSep,298187,4
22,But I Was Cool!,Blues: Wicked Wit,Albert Collins,191133,spotify:track:6sDtPJhCY6TNLNrarcm9d3,https://api.spotify.com/v1/tracks/6sDtPJhCY6TNLNrarcm9d3,0.746,0.222,7,-20.493,0,0.157,0.285,5.37e-05,0.101,0.526,110.718,audio_features,6sDtPJhCY6TNLNrarcm9d3,spotify:track:6sDtPJhCY6TNLNrarcm9d3,https://api.spotify.com/v1/tracks/6sDtPJhCY6TNLNrarcm9d3,https://api.spotify.com/v1/audio-analysis/6sDtPJhCY6TNLNrarcm9d3,191133,4
23,Cold Cuts,Deluxe Edition,Albert Collins,360733,spotify:track:1kqd9zoyn4sBPzmI9f8BP8,https://api.spotify.com/v1/tracks/1kqd9zoyn4sBPzmI9f8BP8,0.618,0.83,6,-10.65,0,0.0328,0.00188,0.759,0.704,0.516,107.233,audio_features,1kqd9zoyn4sBPzmI9f8BP8,spotify:track:1kqd9zoyn4sBPzmI9f8BP8,https://api.spotify.com/v1/tracks/1kqd9zoyn4sBPzmI9f8BP8,https://api.spotify.com/v1/audio-analysis/1kqd9zoyn4sBPzmI9f8BP8,360733,4
24,When the Welfare Turns Its Back on You,Electric Blues,Albert Collins,325760,spotify:track:2sAbf0uJ4jGVxKEia9Gmgs,https://api.spotify.com/v1/tracks/2sAbf0uJ4jGVxKEia9Gmgs,0.476,0.468,0,-9.496,1,0.051,0.139,0.00477,0.402,0.669,175.944,audio_features,2sAbf0uJ4jGVxKEia9Gmgs,spotify:track:2sAbf0uJ4jGVxKEia9Gmgs,https://api.spotify.com/v1/tracks/2sAbf0uJ4jGVxKEia9Gmgs,https://api.spotify.com/v1/audio-analysis/2sAbf0uJ4jGVxKEia9Gmgs,325760,3
25,A Good Fool Is Hard to Find,Horn Band Blues,Albert Collins,259266,spotify:track:6D0sRgTcGo0HL90GquMd1z,https://api.spotify.com/v1/tracks/6D0sRgTcGo0HL90GquMd1z,0.58,0.664,7,-10.398,0,0.0646,0.0252,0.00291,0.0996,0.64,132.554,audio_features,6D0sRgTcGo0HL90GquMd1z,spotify:track:6D0sRgTcGo0HL90GquMd1z,https://api.spotify.com/v1/tracks/6D0sRgTcGo0HL90GquMd1z,https://api.spotify.com/v1/audio-analysis/6D0sRgTcGo0HL90GquMd1z,259267,4
26,Jenny Lee,The Live One,Dave Hole,265906,spotify:track:4MEhBj5Z3OkIRojh0hHBiQ,https://api.spotify.com/v1/tracks/4MEhBj5Z3OkIRojh0hHBiQ,0.256,0.953,4,-4.836,0,0.214,0.164,0.0159,0.972,0.52,192.711,audio_features,4MEhBj5Z3OkIRojh0hHBiQ,spotify:track:4MEhBj5Z3OkIRojh0hHBiQ,https://api.spotify.com/v1/tracks/4MEhBj5Z3OkIRojh0hHBiQ,https://api.spotify.com/v1/audio-analysis/4MEhBj5Z3OkIRojh0hHBiQ,265907,4
27,Short Fuse Blues,Alligator Records 35th Anniversary Collection,Dave Hole,316440,spotify:track:7l7Gw8ENBTkPR5m2XC9Uif,https://api.spotify.com/v1/tracks/7l7Gw8ENBTkPR5m2XC9Uif,0.333,0.825,9,-5.995,1,0.103,0.0972,0.00832,0.477,0.652,179.975,audio_features,7l7Gw8ENBTkPR5m2XC9Uif,spotify:track:7l7Gw8ENBTkPR5m2XC9Uif,https://api.spotify.com/v1/tracks/7l7Gw8ENBTkPR5m2XC9Uif,https://api.spotify.com/v1/audio-analysis/7l7Gw8ENBTkPR5m2XC9Uif,316440,3
28,Keep Your Motor Running,The Alligator Records 25th Anniversary Collection,Dave Hole,225333,spotify:track:36aNstzD5hK06K1XcZ3Yw0,https://api.spotify.com/v1/tracks/36aNstzD5hK06K1XcZ3Yw0,0.54,0.924,6,-7.064,0,0.117,0.00555,0.00263,0.313,0.869,131.532,audio_features,36aNstzD5hK06K1XcZ3Yw0,spotify:track:36aNstzD5hK06K1XcZ3Yw0,https://api.spotify.com/v1/tracks/36aNstzD5hK06K1XcZ3Yw0,https://api.spotify.com/v1/audio-analysis/36aNstzD5hK06K1XcZ3Yw0,225333,4
29,Up All Night Thinking,Working Overtime,Dave Hole,500000,spotify:track:66Fp9oj3RB0gmpq5Ax18F7,https://api.spotify.com/v1/tracks/66Fp9oj3RB0gmpq5Ax18F7,0.275,0.606,2,-8.941,1,0.0351,0.0259,0.502,0.397,0.417,130.555,audio_features,66Fp9oj3RB0gmpq5Ax18F7,spotify:track:66Fp9oj3RB0gmpq5Ax18F7,https://api.spotify.com/v1/tracks/66Fp9oj3RB0gmpq5Ax18F7,https://api.spotify.com/v1/audio-analysis/66Fp9oj3RB0gmpq5Ax18F7,500000,3
