,song_name,album_name,artist_name,duration_ms,uri,href,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
33,"O heiliges Geist- und Wasserbad, BWV 165: Aria: Jesu, meines Todes Tod (Tenor)","Bach, J.S.: Cantatas, Vol. 4 - Bwv 163, 165, 185, 199",Johann Sebastian Bach,143640,spotify:track:0Fec1K40tVgsgLlvm4KLMm,https://api.spotify.com/v1/tracks/0Fec1K40tVgsgLlvm4KLMm,0.348,0.0838,8.0,-24.528,1.0,0.0396,0.9,0.000122,0.117,0.711,153.976,audio_features,0Fec1K40tVgsgLlvm4KLMm,spotify:track:0Fec1K40tVgsgLlvm4KLMm,https://api.spotify.com/v1/tracks/0Fec1K40tVgsgLlvm4KLMm,https://api.spotify.com/v1/audio-analysis/0Fec1K40tVgsgLlvm4KLMm,143640.0,4.0,
34,Marion,"i,i",Bon Iver,141666,spotify:track:4Pzg3KLuXxPJ2eFsPiN134,https://api.spotify.com/v1/tracks/4Pzg3KLuXxPJ2eFsPiN134,0.342,0.0651,3.0,-13.105,1.0,0.0367,0.933,4.61e-05,0.11,0.236,141.753,audio_features,4Pzg3KLuXxPJ2eFsPiN134,spotify:track:4Pzg3KLuXxPJ2eFsPiN134,https://api.spotify.com/v1/tracks/4Pzg3KLuXxPJ2eFsPiN134,https://api.spotify.com/v1/audio-analysis/4Pzg3KLuXxPJ2eFsPiN134,141667.0,4.0,
35,"Burning Heart - From ""Rocky IV"" Soundtrack",Power Ballads - All Out of Love,Survivor,230413,spotify:track:1DjQmWRSJEpodjHNMSpEpr,https://api.spotify.com/v1/tracks/1DjQmWRSJEpodjHNMSpEpr,0.653,0.635,9.0,-8.944,0.0,0.0284,0.287,1.69e-05,0.0372,0.643,98.142,audio_features,1DjQmWRSJEpodjHNMSpEpr,spotify:track:1DjQmWRSJEpodjHNMSpEpr,https://api.spotify.com/v1/tracks/1DjQmWRSJEpodjHNMSpEpr,https://api.spotify.com/v1/audio-analysis/1DjQmWRSJEpodjHNMSpEpr,230413.0,4.0,
36,They Don't Know You - Interlude,Where I Belong EP,Glowie,28221,spotify:track:5AWYpcS8zoxwfXx1mhTbqm,https://api.spotify.com/v1/tracks/5AWYpcS8zoxwfXx1mhTbqm,0.726,0.329,7.0,-19.381,1.0,0.954,0.921,0.0,0.425,0.807,107.267,audio_features,5AWYpcS8zoxwfXx1mhTbqm,spotify:track:5AWYpcS8zoxwfXx1mhTbqm,https://api.spotify.com/v1/tracks/5AWYpcS8zoxwfXx1mhTbqm,https://api.spotify.com/v1/audio-analysis/5AWYpcS8zoxwfXx1mhTbqm,28222.0,3.0,
37,Brave Parade,Unravel,Lynn Miles,219853,spotify:track:2TqwaZNQupogvUdlAZzQ7g,https://api.spotify.com/v1/tracks/2TqwaZNQupogvUdlAZzQ7g,0.423,0.0793,7.0,-17.603,1.0,0.0384,0.95,3.02e-05,0.107,0.286,127.737,audio_features,2TqwaZNQupogvUdlAZzQ7g,spotify:track:2TqwaZNQupogvUdlAZzQ7g,https://api.spotify.com/v1/tracks/2TqwaZNQupogvUdlAZzQ7g,https://api.spotify.com/v1/audio-analysis/2TqwaZNQupogvUdlAZzQ7g,219853.0,4.0,
38,Million Dollar Man,Skid Row,James Ferraro,74213,spotify:track:65ih3DlV9J71tL7TUXmA0D,https://api.spotify.com/v1/tracks/65ih3DlV9J71tL7TUXmA0D,0.366,0.401,1.0,-17.687,0.0,0.0837,0.0651,0.145,0.0987,0.711,129.81,audio_features,65ih3DlV9J71tL7TUXmA0D,spotify:track:65ih3DlV9J71tL7TUXmA0D,https://api.spotify.com/v1/tracks/65ih3DlV9J71tL7TUXmA0D,https://api.spotify.com/v1/audio-analysis/65ih3DlV9J71tL7TUXmA0D,74213.0,4.0,
39,"3 Drafts for Piano, Bia. 276 (Reconstr. A.W. Holsbergen)",Beethoven: Piano Fragments & Sketches,Ludwig van Beethoven,145493,spotify:track:6CLpoiLOtuiNDLcH45DKuY,https://api.spotify.com/v1/tracks/6CLpoiLOtuiNDLcH45DKuY,0.344,0.0274,7.0,-31.355,1.0,0.0445,0.995,0.856,0.073,0.261,93.144,audio_features,6CLpoiLOtuiNDLcH45DKuY,spotify:track:6CLpoiLOtuiNDLcH45DKuY,https://api.spotify.com/v1/tracks/6CLpoiLOtuiNDLcH45DKuY,https://api.spotify.com/v1/audio-analysis/6CLpoiLOtuiNDLcH45DKuY,145493.0,3.0,
40,Offshore Search,Cities In Fog 1 & 2,Jeff Greinke,247933,spotify:track:6ioYOUnMLq6lE30gaLNBRc,https://api.spotify.com/v1/tracks/6ioYOUnMLq6lE30gaLNBRc,0.21,0.261,1.0,-26.878,1.0,0.0452,0.239,0.873,0.121,0.127,140.058,audio_features,6ioYOUnMLq6lE30gaLNBRc,spotify:track:6ioYOUnMLq6lE30gaLNBRc,https://api.spotify.com/v1/tracks/6ioYOUnMLq6lE30gaLNBRc,https://api.spotify.com/v1/audio-analysis/6ioYOUnMLq6lE30gaLNBRc,247933.0,3.0,
41,State of Tennessee Blues,"I Can't Be Satisfied: Early American Blues Singers, Vol. 1 - Country",Jennie Clayton,209106,spotify:track:6Xh2G8fGyMQUq8cZgFRIiQ,https://api.spotify.com/v1/tracks/6Xh2G8fGyMQUq8cZgFRIiQ,0.627,0.29,10.0,-12.572,1.0,0.0404,0.962,0.00264,0.218,0.671,97.341,audio_features,6Xh2G8fGyMQUq8cZgFRIiQ,spotify:track:6Xh2G8fGyMQUq8cZgFRIiQ,https://api.spotify.com/v1/tracks/6Xh2G8fGyMQUq8cZgFRIiQ,https://api.spotify.com/v1/audio-analysis/6Xh2G8fGyMQUq8cZgFRIiQ,209107.0,4.0,
42,The Coolea Jigs,A Celebration !! 1989 - 2014,Dervish,270133,spotify:track:06s8HqHtPdA8gQVx5jRILm,https://api.spotify.com/v1/tracks/06s8HqHtPdA8gQVx5jRILm,0.333,0.713,7.0,-7.136,1.0,0.0409,0.795,1.7e-05,0.0937,0.984,138.991,audio_features,06s8HqHtPdA8gQVx5jRILm,spotify:track:06s8HqHtPdA8gQVx5jRILm,https://api.spotify.com/v1/tracks/06s8HqHtPdA8gQVx5jRILm,https://api.spotify.com/v1/audio-analysis/06s8HqHtPdA8gQVx5jRILm,270133.0,4.0,
